job_id,driver_id,scheduled_time,actual_time,priority,traffic_level,status,pickup_lat,pickup_lon,drop_lat,drop_lon
J001,D14,56,66,low,heavy,delayed,51.48175790875413,-0.13740634957950665,51.45109613461376,-0.1020534089976054
J002,D10,42,65,low,low,on_route,55.990249423986825,-3.221129293595012,56.01405938048984,-3.241939529132817
J003,D21,44,42,low,heavy,delayed,52.46833097231359,-1.8725798208978828,52.50151415079774,-1.8503432795494152
J004,D16,28,28,low,low,delivered,55.91037805747379,-3.1570213740331288,55.89316383757741,-3.0865045549517673
J005,D28,48,61,low,heavy,delivered,54.93837955176584,-1.600168820661477,54.97091213426785,-1.587842023755475
J006,D20,28,36,low,low,on_route,53.494601265614335,-2.255435267628272,53.412379737819975,-2.252350228096617
J007,D27,44,51,medium,heavy,on_route,53.45314637267956,-2.2196714782562306,53.44926076282947,-2.1361139487607184
J008,D37,59,54,medium,medium,delayed,52.52431695734823,-1.8740756573714157,52.577888128513365,-1.854243509848976
J009,D28,56,52,high,low,delivered,51.52196595016454,-0.15727312407830218,51.55544555513161,-0.18649396912894473
J010,D11,23,34,high,heavy,delayed,53.51325931436727,-2.290276263320938,53.52448830999306,-2.324756251662024
J011,D34,59,74,medium,low,delayed,53.475325938963024,-2.217468917007509,53.45376725533957,-2.2284102730571163
J012,D11,35,61,low,low,on_route,55.01729153015615,-1.6071970509417515,54.993268300755176,-1.6263060992851484
J013,D15,23,40,medium,medium,delivered,51.48432043304702,-0.09409057388925585,51.42629951171979,-0.1533341185928857
J014,D16,34,31,medium,low,delivered,54.960749210787895,-1.5726552464492256,54.98728773623104,-1.6662243569422746
J015,D04,31,37,medium,low,delayed,53.4780415935623,-2.265537355235767,53.5327765386938,-2.312348541091035
J016,D11,59,75,low,heavy,delayed,53.44501771074857,-2.224564967635514,53.48239661845507,-2.2462500489204107
J017,D35,56,81,low,medium,on_route,52.49465040176461,-1.929874322544396,52.444500332399244,-1.884989477178696
J018,D23,44,62,high,heavy,delivered,54.97704127978427,-1.6274877523849778,54.95425660780554,-1.606393313264931
J019,D04,45,75,high,medium,delivered,52.49205243573117,-1.8849291448939467,52.42013948321543,-1.881308328936777
J020,D13,51,48,high,medium,delayed,51.54276052002968,-0.1645696609187184,51.45514752958662,-0.0820249541367794
J021,D18,55,83,high,medium,on_route,51.50755872816644,-0.12417192831727059,51.58528845603972,-0.13567697905360937
J022,D15,44,55,high,heavy,delayed,54.965387932470044,-1.643555366794504,55.00721462665322,-1.5517337638851718
J023,D22,48,78,low,low,delayed,55.96817573220823,-3.188719876652835,55.93845339390034,-3.22717699209999
